time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.75510101692e-07,-7.00498443019e-08,10.0061522025,6.28286581389,0.000302665808766,0.0,-3.21196846121e-05,-1.75886251442e-05,0.205058235786,-0.018975857394,0.0135938533464,0.0,468.5759677911365,469.6312914660142,469.73570352996296,468.262213428907
0.12000000000000001,-1.3907341561e-05,-1.48727202877e-05,10.0266283471,6.28137994317,0.000914063472488,0.0,-0.000511257342133,-0.000638431780138,0.477405564576,-0.0400360567152,0.00232360477802,0.0,488.9612508367876,488.1209342291858,489.45935136340825,487.88965018868635
0.18,-6.42962274997e-05,-9.98742335313e-05,10.0584779144,6.27921953454,0.00116856207243,0.0,-0.00118887461906,-0.00242879336672,0.584196970854,-0.028970433197,0.00782564888028,0.0,438.54619226261684,439.00282259121457,439.38014407404876,440.29581767886395
0.23999999999999996,-0.000158380934395,-0.000322678027634,10.0938335631,6.27736290413,0.00186635865007,0.0,-0.00199986087603,-0.00515711854399,0.594318548405,-0.0352147975767,0.0183205708423,0.0,407.19471104850976,408.1322463821469,408.1188880196221,407.56081545385376
0.3,-0.000327458438531,-0.000774921106744,10.1351716275,6.27646871467,0.00351489522119,0.0,-0.00379920805862,-0.0100712185538,0.783504683968,0.00924515659002,0.0413600954048,0.0,464.5744595160312,466.37734135803294,462.2421703129819,465.7320124091584
0.36000000000000004,-0.000629228791549,-0.00150146990583,10.1830189062,6.27709075497,0.00631343870688,0.0,-0.00650237209894,-0.0140931327335,0.811384283738,0.0125222010029,0.0555305760514,0.0,413.1992130902815,414.44784449880785,414.09727285654265,414.38529052397234
0.4200000000000001,-0.00115288646445,-0.00246161966007,10.2332653908,6.27764633132,0.00994457299157,0.0,-0.0112844823703,-0.017848700391,0.863458164882,0.00177113698861,0.0689834049704,0.0,421.42954815847696,422.59337599075945,422.68215137868395,421.75462120511236
0.48000000000000015,-0.00204816225937,-0.00364420667622,10.2877867737,6.27717179737,0.0140747827936,0.0,-0.0189731475062,-0.0215686412138,0.953845005027,-0.0474888978797,0.0685422121193,0.0,434.3750807361039,434.3417922183181,436.9565837675507,432.8309874552342
0.5400000000000001,-0.00346228351214,-0.00505998093839,10.3459447741,6.27405097937,0.0181352461805,0.0,-0.0285389300093,-0.0258957065947,0.984720801571,-0.0630865141512,0.0658806257012,0.0,415.8152947589366,415.585879200958,415.70063733768023,414.32971671146646
0.6000000000000002,-0.00553749916303,-0.00680245953345,10.4066043997,6.27068461341,0.0218527580196,0.0,-0.0409997047608,-0.0325233644224,1.0372093124,-0.0449050648026,0.0526623646407,0.0,423.8619643136737,422.72752603380064,421.129175129499,422.6962733067554
0.6600000000000003,-0.00843026032411,-0.00900466705995,10.4704646157,6.26786184723,0.0248678389446,0.0,-0.0557190953338,-0.0411451420429,1.09140327885,-0.0517128970773,0.0449333445296,0.0,423.2349191244457,422.5709812454439,423.9787223531693,423.3920188238902
0.7200000000000003,-0.0122297529218,-0.0117581057019,10.5362442142,6.26540751944,0.0282011666277,0.0,-0.0712029082182,-0.0508770559416,1.10122884148,-0.0251678245631,0.0710910071078,0.0,407.06309895988517,409.3991531171067,407.80815031560525,410.1708855040028
0.7800000000000004,-0.0171731613025,-0.0152280264782,10.6078018838,6.26438990003,0.0321125015758,0.0,-0.0940436170412,-0.0649236218368,1.28382169325,-0.00420741473745,0.0495106123045,0.0,465.42265649656355,463.73359436459293,462.04152741060926,463.690928464311
0.8400000000000004,-0.0235280588787,-0.0195341819446,10.6889663824,6.26415577162,0.0350244887285,0.0,-0.118097868083,-0.0786379811083,1.42148774325,-0.00329844085275,0.0465034553943,0.0,450.0315766825309,449.789544031254,451.0474320646007,451.1209023551583
0.9000000000000005,-0.0315357092708,-0.0247467961735,10.7825146817,6.26393554002,0.0375234999557,0.0,-0.14915248933,-0.0951355165395,1.69640711072,-0.00442533042474,0.0295520601018,0.0,492.25556874984676,491.00041287162213,491.2399202479587,491.1564317569507
0.9600000000000005,-0.0413493877921,-0.0308953529409,10.8894489151,6.26362268631,0.0395729455205,0.0,-0.178177323595,-0.109843841167,1.86779142941,-0.00684072057774,0.0420622400684,0.0,462.20493749077696,463.19017149626626,461.35997835327515,461.16933883486405
1.0200000000000005,-0.0528674700922,-0.0378896731906,11.004496248,6.26440826954,0.0416901118511,0.0,-0.205994967508,-0.123261671255,1.96694205122,0.0369676989315,0.0161359651406,0.0,441.85031788121137,439.7083665557144,437.96249998929216,441.59094262363527
1.0800000000000005,-0.0662496881331,-0.045732985616,11.1292307825,6.26698100337,0.0430206531939,0.0,-0.240203966007,-0.137884609766,2.19047045223,0.0526491503382,0.0321239947824,0.0,477.23695361648055,478.45565012717503,478.29329854056755,479.4868763297444
1.1400000000000006,-0.0816931288982,-0.0543766612053,11.266713033,6.26964914119,0.0455855225261,0.0,-0.27483054279,-0.149879770689,2.39186134941,0.018259229663,0.058286737112,0.0,471.229525690713,473.24834505529367,474.52967259470944,471.88338695461766
1.2000000000000006,-0.0992735179135,-0.0636828879421,11.4161087822,6.27143514393,0.0491977023018,0.0,-0.311577008385,-0.160147528426,2.58755205336,0.0462499071083,0.0637822355034,0.0,472.62674711831613,473.05241687967805,469.8766271209892,472.04171816065906
1.2600000000000007,-0.118975710637,-0.073518187542,11.5738383339,6.27465550085,0.0534023000255,0.0,-0.345555813288,-0.167393256586,2.66988831524,0.0654433090514,0.08036737358,0.0,437.81797845782256,439.1994216056887,436.86499246858455,438.464321095064
